buffer,partition,lake_id,rmse,mae,corr,obs_mean,pred_mean,pred_zmean,pred_zmax
100,train,195,3.6809812,3.0723815,0.9192412354097457,-2.7068193,-0.35053384,7.269986,14.1916895
100,train,56,4.4105678,3.45735,0.9701701881345106,-3.698747,-0.6115672,9.866787,21.43208
100,train,72,0.8662477,0.77260464,-0.09304535156647196,-1.2761383,-0.54084843,0.7910311,4.5535903
100,train,53,0.88567096,0.7383703,0.7796378153782326,22.733015,22.241434,3.9538188,6.2745686
100,train,37,1.4121913,1.1021367,0.7617437415055448,-0.5243552,0.093932234,2.9821877,4.714359
100,train,26,0.7236703,0.536377,0.3893409536264207,40.926624,40.640053,1.7341193,3.534378
100,train,13,1.369482,1.2658815,0.9427328644583777,25.477211,24.23236,4.915035,7.3956833
100,train,101,0.7500545,0.64338785,0.8605680009256969,9.745946,9.213519,2.5191576,5.16201
100,train,39,1.1970121,0.9385972,0.9443923271413002,42.478703,41.63036,6.4010034,10.572517
100,train,29,1.2576793,1.2006621,0.6019233820769302,30.518883,29.323902,2.1452308,2.9542103
100,train,28,1.0435718,0.7477619,0.9623451926628563,19.415268,18.920391,7.5788383,12.051317
100,train,62,0.80941963,0.6545837,0.3967181197108382,5.119257,5.43259,2.0969107,6.306049
100,train,124,0.61237705,0.52242273,0.6717857286590759,48.282204,47.83768,1.2756777,2.456108
100,train,96,0.9525987,0.73273194,0.9001204153391248,52.662445,52.199203,5.152678,7.7985306
100,train,22,1.0740297,0.7740834,0.9167834073388442,16.25651,16.134409,4.7797213,9.409279
100,train,46,0.46173114,0.37505943,0.7094448911183694,8.621317,8.450711,2.3122554,3.5762224
100,train,139,0.9016175,0.7325609,0.04837286361297544,9.823213,10.168056,0.6932321,2.662856
100,train,40,2.997314,1.8958657,0.9607847169835709,6.6520953,7.430722,12.901712,26.805696
100,train,198,1.5015898,1.1669695,0.9684393458294742,5.580896,5.799712,6.4597883,18.500977
100,train,131,1.4588203,1.0629519,0.9394804418276278,4.08541,3.5000548,7.702074,12.056739
100,train,207,0.30889717,0.25615433,0.5845259131128889,-0.49569058,-0.4849192,1.5516651,2.841761
100,train,63,0.5603212,0.3560952,0.8106581707768953,1.4562664,1.5559615,1.9885588,3.0791693
100,train,35,4.561843,3.7542942,0.9391245151012997,-4.2319875,-0.7032427,9.962244,17.2999
100,train,142,1.3087415,0.96521026,0.9018198695192431,51.76465,51.12239,4.822957,8.087128
100,train,130,0.99208343,0.90266037,0.8538062666437743,38.752808,37.892586,2.7985938,4.849163
100,train,162,0.7749529,0.59069127,0.8504208455537128,16.350464,16.018766,3.1551676,5.686573
100,train,134,0.6544156,0.545318,0.19795069806185514,0.15666506,0.56906396,0.7433449,6.1245008
100,train,183,0.97880435,0.7714243,0.9901991157019104,46.250633,46.042637,9.93893,22.881313
100,train,171,1.4861338,1.2305938,0.9117425813390126,30.149004,29.391954,5.4111404,11.208767
100,train,122,2.1545124,1.7600646,0.9071499015877255,31.15991,29.49186,6.5092134,12.24762
100,train,99,0.7535639,0.631749,0.6638372247820917,19.024796,18.708626,2.3853102,4.0757866
100,train,95,1.4861852,1.3817846,0.942508416782345,23.09813,21.836395,3.8063762,6.6015186
100,train,194,1.6913024,1.428725,0.9757678120580808,24.46226,23.18257,9.253618,20.404823
100,train,48,0.93970114,0.80478376,0.8639250469600851,61.814823,61.28461,3.6620312,5.5378113
100,train,186,0.8106328,0.5812356,0.8548130369738471,0.6920307,0.92318314,3.0168962,6.5844584
